Timestamp,OD,electrical conductivity,fluorescence,Hum%RH,Dirt1,AD Value1,Dirt2,AD Value2
2025-06-24T07:57:01.828,0.0,64.668,76,0.186,0,176,0,177,
2025-06-24T07:57:02.134,0.0,67.891,76,0.186,0,176,0,174,
2025-06-24T07:57:02.438,0.0,71.073,76,0.186,0,176,0,181,
2025-06-24T07:57:02.743,0.0,73.557,76,0.186,0,176,0,174,
2025-06-24T07:57:03.047,0.0,70.146,76,0.186,0,176,0,179,
2025-06-24T07:57:03.349,0.0,66.454,76,0.186,0,176,0,181,
2025-06-24T07:57:03.651,0.0,64.413,76,0.186,0,176,0,180,
2025-06-24T07:57:03.937,0.0,68.481,76,0.186,0,176,0,179,
2025-06-24T07:57:04.226,0.0,70.643,76,0.186,0,176,0,180,
2025-06-24T07:57:04.530,0.0,71.18,76,0.186,0,176,0,179,
2025-06-24T07:57:04.834,0.0,72.966,76,0.186,0,176,0,176,
2025-06-24T07:57:05.138,0.0,69.663,76,0.186,0,176,0,180,
2025-06-24T07:57:05.426,0.0,64.668,76,0.186,0,176,0,183,
2025-06-24T07:57:05.730,0.0,63.11,76,0.186,0,176,0,181,
2025-06-24T07:57:06.035,0.0,64.668,76,0.186,0,176,0,180,
2025-06-24T07:57:06.340,0.0,67.77,76,0.186,0,176,0,183,
2025-06-24T07:57:06.629,0.0,70.939,76,0.186,0,176,0,180,
2025-06-24T07:57:06.934,0.0,72.617,76,0.186,0,176,0,180,
2025-06-24T07:57:07.239,0.0,67.85,76,0.186,0,176,0,181,
2025-06-24T07:57:07.547,0.0,63.137,76,0.186,0,176,0,179,
2025-06-24T07:57:07.851,0.0,60.653,76,0.186,0,176,0,181,
2025-06-24T07:57:08.157,0.0,64.131,76,0.186,0,176,0,181,
2025-06-24T07:57:08.460,0.0,68.092,76,0.186,0,176,0,180,
2025-06-24T07:57:08.765,0.0,71.274,76,0.186,0,176,0,178,
2025-06-24T07:57:09.070,0.0,73.879,76,0.186,0,176,0,178,
2025-06-24T07:57:09.373,0.0,70.469,76,0.186,0,176,0,176,
2025-06-24T07:57:09.678,0.0,64.587,76,0.186,0,176,0,179,
2025-06-24T07:57:09.981,0.0,62.828,76,0.186,0,176,0,180,
2025-06-24T07:57:10.267,0.0,64.44,76,0.186,0,176,0,179,
2025-06-24T07:57:10.554,0.0,67.568,76,0.186,0,176,0,177,
2025-06-24T07:57:10.839,0.0,71.18,76,0.186,0,176,0,180,
2025-06-24T07:57:11.140,0.0,72.751,76,0.186,0,176,0,180,
2025-06-24T07:57:11.426,0.0,68.347,76,0.186,0,178,0,180,
2025-06-24T07:57:11.727,0.0,63.58,76,0.186,0,176,0,180,
2025-06-24T07:57:12.032,0.0,61.177,76,0.186,0,176,0,176,
2025-06-24T07:57:12.337,0.0,64.185,76,0.186,0,176,0,181,
2025-06-24T07:57:12.641,0.0,67.689,76,0.186,0,180,0,180,
2025-06-24T07:57:12.945,0.0,71.342,76,0.186,0,180,0,182,
2025-06-24T07:57:13.251,0.0,72.469,76,0.186,0,176,0,176,
2025-06-24T07:57:13.556,0.0,67.797,76,0.186,0,180,0,183,
2025-06-24T07:57:13.859,0.0,63.124,76,0.186,0,180,0,181,
2025-06-24T07:57:14.165,0.0,61.002,76,0.186,0,176,0,180,
2025-06-24T07:57:14.453,0.0,64.292,76,0.186,0,176,0,176,
2025-06-24T07:57:14.757,0.0,69.878,76,0.186,0,178,0,182,
2025-06-24T07:57:15.063,0.0,73.195,76,0.186,0,176,0,178,
2025-06-24T07:57:15.368,0.0,72.711,76,0.186,0,176,0,177,
2025-06-24T07:57:15.689,0.0,68.065,76,0.186,0,176,0,178,
2025-06-24T07:57:15.993,0.0,62.99,76,0.186,0,176,0,176,
2025-06-24T07:57:16.298,0.0,61.042,76,0.186,0,176,0,176,
2025-06-24T07:57:16.603,0.0,64.775,76,0.186,0,176,0,176,
2025-06-24T07:57:16.907,0.0,69.851,76,0.186,0,176,0,183,
2025-06-24T07:57:17.213,0.0,72.563,76,0.186,0,176,0,181,
2025-06-24T07:57:17.518,0.0,71.731,76,0.186,0,176,0,180,
2025-06-24T07:57:17.838,0.0,67.582,76,0.186,0,176,0,182,
2025-06-24T07:57:18.141,0.0,63.835,76,0.186,0,180,0,176,
2025-06-24T07:57:18.446,0.0,61.996,76,0.186,0,180,0,178,
2025-06-24T07:57:18.737,0.0,65.098,76,0.186,0,176,0,181,
2025-06-24T07:57:19.042,0.0,68.092,76,0.186,0,176,0,175,
2025-06-24T07:57:19.346,0.0,71.234,76,0.186,0,176,0,179,
2025-06-24T07:57:19.650,0.0,72.563,76,0.186,0,176,0,179,
2025-06-24T07:57:19.956,0.0,68.132,76,0.186,0,176,0,180,
2025-06-24T07:57:20.260,0.0,64.037,76,0.186,0,176,0,176,
2025-06-24T07:57:20.566,0.0,62.09,76,0.186,0,176,0,183,
2025-06-24T07:57:20.870,0.0,66.951,76,0.186,0,176,0,174,
2025-06-24T07:57:21.157,0.0,70.227,76,0.186,0,180,0,180,
2025-06-24T07:57:21.463,0.0,71.234,76,0.186,0,176,0,176,
2025-06-24T07:57:21.767,0.0,72.523,76,0.186,0,176,0,177,
2025-06-24T07:57:22.072,0.0,68.011,76,0.186,0,176,0,181,
2025-06-24T07:57:22.375,0.0,63.204,76,0.186,0,176,0,178,
2025-06-24T07:57:22.681,0.0,61.23,76,0.186,0,176,0,177,
2025-06-24T07:57:22.986,0.0,64.789,76,0.186,0,176,0,179,
2025-06-24T07:57:23.290,0.0,69.65,76,0.186,0,176,0,182,
2025-06-24T07:57:23.594,0.0,72.792,76,0.186,0,178,0,180,
2025-06-24T07:57:23.899,0.0,72.671,76,0.186,0,176,0,176,
2025-06-24T07:57:24.205,0.0,68.414,76,0.186,0,176,0,182,
2025-06-24T07:57:24.507,0.0,63.782,76,0.186,0,176,0,179,
2025-06-24T07:57:24.815,0.0,61.365,76,0.186,0,176,0,178,
2025-06-24T07:57:25.116,0.0,64.399,76,0.186,0,176,0,176,
2025-06-24T07:57:25.419,0.0,67.622,76,0.186,0,176,0,176,
2025-06-24T07:57:25.723,0.0,70.643,76,0.186,0,176,0,180,
2025-06-24T07:57:26.026,0.0,72.456,76,0.186,0,176,0,178,
2025-06-24T07:57:26.311,0.0,68.213,76,0.186,0,176,0,182,
2025-06-24T07:57:26.597,0.0,63.5,76,0.186,0,180,0,178,
2025-06-24T07:57:26.883,0.0,61.177,76,0.186,0,176,0,176,
2025-06-24T07:57:27.169,0.0,64.48,76,0.186,0,176,0,179,
2025-06-24T07:57:27.470,0.0,67.958,76,0.186,0,176,0,176,
